season,player_name,team,position,vote_pct,won
1999,Kurt Warner,STL,QB,0.84,True
1999,Marshall Faulk,STL,RB,0.12,False
2000,Marshall Faulk,STL,RB,0.68,True
2000,Daunte Culpepper,MIN,QB,0.14,False
2000,Jeff Garcia,SF,QB,0.1,False
2001,Kurt Warner,STL,QB,0.52,True
2001,Marshall Faulk,STL,RB,0.32,False
2001,Donovan McNabb,PHI,QB,0.1,False
2002,Rich Gannon,OAK,QB,0.76,True
2002,Priest Holmes,KC,RB,0.12,False
2002,Daunte Culpepper,MIN,QB,0.08,False
2003,Steve McNair,TEN,QB,0.5,True
2003,Peyton Manning,IND,QB,0.5,True
2004,Peyton Manning,IND,QB,0.96,True
2004,Daunte Culpepper,MIN,QB,0.04,False
2005,Shaun Alexander,SEA,RB,0.52,True
2005,Peyton Manning,IND,QB,0.28,False
2005,Tom Brady,NE,QB,0.12,False
2006,LaDainian Tomlinson,SD,RB,0.92,True
2006,Drew Brees,NO,QB,0.04,False
2006,Peyton Manning,IND,QB,0.02,False
2007,Tom Brady,NE,QB,0.96,True
2007,Randy Moss,NE,WR,0.04,False
2008,Peyton Manning,IND,QB,0.48,True
2008,Michael Turner,ATL,RB,0.24,False
2008,Matt Forte,CHI,RB,0.12,False
2008,Philip Rivers,LAC,QB,0.1,False
2009,Peyton Manning,IND,QB,0.96,True
2009,Brett Favre,MIN,QB,0.04,False
2010,Tom Brady,NE,QB,0.96,True
2010,Michael Vick,PHI,QB,0.04,False
2011,Aaron Rodgers,GB,QB,0.968,True
2011,Drew Brees,NO,QB,0.032,False
2012,Adrian Peterson,MIN,RB,0.96,True
2012,Peyton Manning,DEN,QB,0.02,False
2012,Tom Brady,NE,QB,0.02,False
2013,Peyton Manning,DEN,QB,0.96,True
2013,Marshawn Lynch,SEA,RB,0.02,False
2014,Aaron Rodgers,GB,QB,0.52,True
2014,DeMarco Murray,DAL,RB,0.24,False
2014,Tony Romo,DAL,QB,0.12,False
2015,Cam Newton,CAR,QB,1.0,True
2016,Matt Ryan,ATL,QB,0.784,True
2016,Ezekiel Elliott,DAL,RB,0.098,False
2016,Tom Brady,NE,QB,0.059,False
2016,Dak Prescott,DAL,QB,0.039,False
2017,Tom Brady,NE,QB,0.608,True
2017,Carson Wentz,PHI,QB,0.235,False
2017,Todd Gurley,LAR,RB,0.118,False
2018,Patrick Mahomes,KC,QB,0.96,True
2018,Drew Brees,NO,QB,0.02,False
2018,Philip Rivers,LAC,QB,0.02,False
2019,Lamar Jackson,BAL,QB,1.0,True
2020,Aaron Rodgers,GB,QB,0.944,True
2020,Josh Allen,BUF,QB,0.056,False
2021,Aaron Rodgers,GB,QB,0.78,True
2021,Tom Brady,TB,QB,0.2,False
2021,Cooper Kupp,LAR,WR,0.02,False
2022,Patrick Mahomes,KC,QB,0.882,True
2022,Jalen Hurts,PHI,QB,0.078,False
2022,Josh Allen,BUF,QB,0.039,False
2023,Lamar Jackson,BAL,QB,0.474,True
2023,Dak Prescott,DAL,QB,0.146,False
2023,Christian McCaffrey,SF,RB,0.141,False
2023,Brock Purdy,SF,QB,0.093,False
2023,Josh Allen,BUF,QB,0.077,False
2023,Tyreek Hill,MIA,WR,0.058,False
2023,Patrick Mahomes,KC,QB,0.012,False
2024,Josh Allen,BUF,QB,0.374,True
2024,Lamar Jackson,BAL,QB,0.353,False
2024,Saquon Barkley,PHI,RB,0.117,False
2024,Joe Burrow,CIN,QB,0.08,False
2024,Jared Goff,DET,QB,0.046,False
2024,Patrick Mahomes,KC,QB,0.03,False
2025,Matthew Stafford,LAR,QB,0.39,True
2025,Drake Maye,NE,QB,0.385,False
2025,Josh Allen,BUF,QB,0.097,False
2025,Christian McCaffrey,SF,RB,0.076,False
2025,Trevor Lawrence,JAX,QB,0.052,False
