season,passer_id,player_name,team,games,total_plays,pass_att,sacks,scrambles,designed_runs,epa_per_play,total_epa,any_a,cpoe,pass_yards,scramble_yards,rush_yards,total_yards,pass_tds,scramble_tds,rush_tds,rec_tds,total_tds,interceptions,fumbles_lost,turnovers,pct_team_yards,pct_team_tds,wpa_total,success_rate,negative_play_rate,late_epa,late_tds,late_plays,late_epa_per_play,team_wins,win_pct,pts_per_drive,offensive_allpros_nqb,wins_vs_top10
2002,00-0001218,S.Beuerlein,DEN,5,135,118,12,2,3,0.0256,3.45,5.708,,925,9,0,934,6,1,0,0,7,5,1,6,14.8,15.9,-0.369,0.4148,0.1333,8.78,3,62,0.1416,9,0.5625,13.517,0.0,0
2002,00-0001335,J.Blake,BAL,10,355,297,30,12,16,-0.0385,-13.68,5.034,,2084,80,30,2194,13,0,1,0,14,11,5,16,45.4,43.8,-0.56,0.4169,0.1465,17.79,7,143,0.1244,7,0.4375,11.286,0.0,0
2002,00-0001361,D.Bledsoe,BUF,16,685,611,54,5,15,0.0819,56.11,5.707,,4359,31,30,4420,24,0,2,0,26,15,6,21,74.6,59.1,2.343,0.4803,0.1139,-25.27,4,169,-0.1496,8,0.5,14.037,0.0,0
2002,00-0001823,A.Brooks,NO,16,615,532,36,30,17,0.0062,3.84,5.636,,3572,211,7,3790,27,1,1,0,29,15,9,24,72.9,64.4,-0.391,0.4065,0.1008,-26.4,4,150,-0.176,9,0.5625,14.897,0.0,0
2002,00-0002110,M.Brunell,JAX,15,484,415,34,25,10,-0.1838,-88.97,5.797,,2788,134,-2,2920,17,0,0,0,17,7,2,9,61.3,43.6,-0.516,0.4194,0.1012,-21.34,4,81,-0.2634,6,0.375,12.615,0.0,0
2002,00-0002876,C.Chandler,CHI,8,191,161,23,2,5,-0.1876,-35.83,4.234,,1023,12,1,1036,4,0,0,0,4,4,3,7,22.8,12.9,-0.895,0.4084,0.1675,-15.12,1,62,-0.2438,4,0.25,8.781,0.0,0
2002,00-0003292,K.Collins,NYG,16,603,546,24,2,31,0.0991,59.74,6.44,,4073,7,-30,4050,19,0,0,0,19,14,6,20,68.1,55.9,0.93,0.4494,0.1128,39.26,7,130,0.302,10,0.625,11.034,0.0,0
2002,00-0003535,T.Couch,CLE,14,485,444,30,4,7,-0.0108,-5.23,4.597,,2842,36,7,2885,18,0,0,0,18,18,4,22,55.6,47.4,-0.675,0.4165,0.1072,13.46,5,124,0.1086,9,0.5625,12.741,0.0,0
2002,00-0003739,D.Culpepper,MIN,16,686,549,47,53,37,0.0654,44.89,4.923,,3853,434,63,4350,18,1,8,0,27,23,11,34,73.7,55.1,1.416,0.4708,0.1297,50.45,9,160,0.3153,6,0.375,13.0,1.0,0
2002,00-0004293,T.Dilfer,SEA,6,183,167,7,3,6,-0.0366,-6.71,5.494,,1182,25,1,1208,4,0,0,0,4,6,2,8,20.9,10.8,-0.319,0.3989,0.0984,0.0,0,0,0.0,7,0.4375,13.148,0.0,0
2002,00-0005106,B.Favre,GB,16,591,551,26,7,7,0.0252,14.92,5.702,,3658,50,0,3708,27,0,0,0,27,16,8,24,65.2,64.3,-0.162,0.4721,0.0863,-8.44,5,141,-0.0598,12,0.75,13.724,0.0,0
2002,00-0005180,J.Fiedler,MIA,11,327,292,13,9,13,0.1218,39.82,5.934,,2024,34,54,2112,14,1,2,0,17,9,4,13,39.0,38.6,0.635,0.4771,0.0826,10.47,5,122,0.0858,9,0.5625,13.034,0.5,0
