season,passer_id,player_name,team,games,dropbacks,epa_per_db,total_epa,any_a,pass_yards,scramble_yards,rush_yards,total_yards,pass_tds,scramble_tds,rush_tds,rec_tds,total_tds,interceptions,fumbles_lost,turnovers,team_wins,pts_per_drive,total_plays,epa_per_play,pass_att,sacks,scrambles,designed_runs,late_epa,late_tds,late_plays,late_epa_per_play,pct_team_yards,pct_team_tds,wpa_total,close_epa,close_epa_per_play,wins_vs_top10,wins_vs_top10_x,wins_vs_top10_y,success_rate,negative_play_rate,cpoe,win_pct,offensive_allpros_nqb
1999,00-0015082,A.Smith,CIN,7,,,-43.59,2.665,793,0,3,796,2,0,1,0,3,6,0,6,4,10.481,175.0,-0.2491,151.0,19.0,0.0,5.0,0.0,0.0,0.0,0.0,16.0,10.0,-0.987,,,0.0,,,0.36,0.1429,,0.25,0.0
1999,00-0005106,B.Favre,GB,16,,,0.14,5.246,4068,8,13,4089,22,0,0,0,22,23,8,31,8,12.31,633.0,0.0002,588.0,34.0,2.0,9.0,0.11,5.0,172.0,0.0006,74.9,57.9,0.564,,,0.0,,,0.4186,0.1027,,0.5,0.0
1999,00-0006423,B.Griese,DEN,14,,,-5.52,5.288,3006,0,21,3027,14,0,2,0,16,14,5,19,6,10.467,490.0,-0.0113,442.0,27.0,0.0,21.0,5.6,5.0,155.0,0.0361,57.7,51.6,-2.789,,,0.0,,,0.4347,0.098,,0.375,0.0
1999,00-0007530,B.Hobert,NO,9,,,-3.01,4.621,965,0,5,970,6,0,1,0,7,5,1,6,3,7.879,173.0,-0.0174,158.0,11.0,0.0,4.0,-2.28,0.0,3.0,-0.759,19.6,25.0,0.392,,,0.0,,,0.3873,0.0983,,0.1875,0.0
1999,00-0008442,B.Johnson,WAS,16,,,50.17,6.827,3988,16,2,4006,24,0,2,0,26,13,8,21,10,15.821,553.0,0.0907,515.0,28.0,4.0,6.0,21.37,6.0,130.0,0.1644,66.4,52.0,1.072,,,0.0,,,0.434,0.0886,,0.625,0.0
1999,00-0016534,B.Tolliver,NO,10,,,-20.17,4.594,1897,0,11,1908,7,0,3,0,10,13,1,14,3,7.879,292.0,-0.0691,264.0,19.0,0.0,9.0,-29.26,2.0,70.0,-0.4179,38.5,35.7,-1.362,,,0.0,,,0.3904,0.113,,0.1875,0.0
1999,00-0000865,C.Batch,DET,11,,,-15.54,5.484,1908,0,8,1916,13,0,1,0,14,7,1,8,8,11.5,310.0,-0.0501,268.0,36.0,0.0,6.0,-1.57,2.0,84.0,-0.0186,37.6,43.8,-0.584,,,0.0,,,0.3935,0.1452,,0.5,0.0
1999,00-0002876,C.Chandler,ATL,12,,,-14.91,5.778,2335,0,6,2341,16,0,1,0,17,11,3,14,5,10.556,342.0,-0.0436,302.0,32.0,0.0,8.0,15.49,4.0,81.0,0.1912,49.1,50.0,-1.148,,,0.0,,,0.4094,0.1345,,0.3125,0.0
1999,00-0011044,C.McNown,CHI,15,,,-18.94,4.688,1452,25,16,1493,8,0,0,0,8,8,3,11,6,9.379,258.0,-0.0734,229.0,18.0,4.0,7.0,-6.01,4.0,103.0,-0.0583,27.4,24.2,-1.294,,,0.0,,,0.3992,0.1163,,0.375,0.0
1999,00-0001361,D.Bledsoe,NE,16,,,-36.72,5.19,3969,0,25,3994,19,0,0,0,19,21,6,27,8,9.061,601.0,-0.0611,535.0,55.0,0.0,11.0,-41.54,2.0,159.0,-0.2613,75.3,65.5,-2.946,,,0.0,,,0.416,0.1364,,0.5,0.0
