season,player_id,player_name,team,position,rush_attempts,receptions,targets,total_touches,rush_yards,rec_yards,scrimmage_yards,rush_tds,rec_tds,total_tds,rush_epa,rec_epa,total_epa,epa_per_touch,yards_per_touch,catch_rate,pct_team_yards,pct_team_tds,target_share,late_epa,late_tds,fumbles_lost
2021,00-0027656,R.Gronkowski,,WR,0.0,55.0,89.0,55.0,0.0,802.0,802.0,0.0,6.0,6.0,0.0,64.867,64.867,1.179,14.582,0.618,80200.0,600.0,8900.0,26.239,0.0,0.0
2021,00-0027942,A.Green,,WR,0.0,54.0,93.0,54.0,0.0,848.0,848.0,0.0,3.0,3.0,0.0,77.303,77.303,1.432,15.704,0.581,84800.0,300.0,9300.0,27.214,0.0,0.0
2021,00-0027966,M.Ingram,HOU,RB,160.0,27.0,36.0,187.0,554.0,162.0,716.0,2.0,0.0,2.0,-31.323,4.333,-26.991,-0.144,3.829,0.75,14.7,7.7,6.9,-5.071,0.0,1.0
2021,00-0029000,C.Beasley,,TE,0.0,82.0,113.0,82.0,0.0,693.0,693.0,0.0,1.0,1.0,0.0,45.851,45.851,0.559,8.451,0.726,69300.0,100.0,11300.0,3.997,0.0,0.0
2021,00-0029239,B.Bolden,NE,RB,45.0,41.0,49.0,86.0,226.0,405.0,631.0,1.0,2.0,3.0,-1.099,28.748,27.649,0.322,7.337,0.837,10.2,6.2,9.3,8.519,2.0,0.0
2021,00-0029293,M.Jones,,WR,0.0,73.0,120.0,73.0,0.0,832.0,832.0,0.0,4.0,4.0,0.0,72.535,72.535,0.994,11.397,0.608,83200.0,400.0,12000.0,21.232,1.0,0.0
2021,00-0030035,A.Thielen,MIN,WR,1.0,67.0,95.0,68.0,2.0,726.0,728.0,0.0,10.0,10.0,-0.194,57.772,57.578,0.847,10.706,0.705,11.6,22.7,16.4,0.924,0.0,0.0
2021,00-0030061,Z.Ertz,ARI,WR,1.0,74.0,113.0,75.0,4.0,763.0,767.0,0.0,5.0,5.0,0.455,61.793,62.248,0.83,10.227,0.655,11.9,10.4,19.8,19.41,0.0,0.0
2021,00-0030279,K.Allen,,WR,0.0,106.0,158.0,106.0,0.0,1138.0,1138.0,0.0,6.0,6.0,0.0,101.692,101.692,0.959,10.736,0.671,113800.0,600.0,15800.0,23.953,2.0,0.0
2021,00-0030288,R.Burkhead,HOU,RB,122.0,25.0,32.0,147.0,427.0,186.0,613.0,3.0,0.0,3.0,-5.235,8.288,3.053,0.021,4.17,0.781,12.6,11.5,6.1,3.941,2.0,0.0
2021,00-0030431,R.Woods,LA,WR,8.0,45.0,70.0,53.0,46.0,556.0,602.0,1.0,4.0,5.0,1.94,55.812,57.752,1.09,11.358,0.643,9.2,9.8,11.6,0.0,0.0,0.0
2021,00-0030506,T.Kelce,KC,WR,2.0,92.0,134.0,94.0,3.0,1125.0,1128.0,1.0,9.0,10.0,0.345,98.433,98.778,1.051,12.0,0.687,17.4,19.6,21.0,29.323,4.0,0.0
2021,00-0030513,L.Murray,BAL,RB,119.0,10.0,13.0,129.0,501.0,75.0,576.0,6.0,0.0,6.0,-6.843,4.751,-2.092,-0.016,4.465,0.769,9.4,16.2,2.2,5.053,2.0,0.0
2021,00-0030578,C.Patterson,ATL,RB,152.0,52.0,69.0,204.0,610.0,548.0,1158.0,6.0,5.0,11.0,-15.973,42.258,26.285,0.129,5.676,0.754,21.6,36.7,12.4,-12.249,2.0,0.0
2021,00-0030874,D.Williams,CHI,RB,40.0,16.0,23.0,56.0,164.0,103.0,267.0,2.0,1.0,3.0,-1.321,1.446,0.125,0.002,4.768,0.696,5.1,10.3,4.4,3.663,1.0,0.0
2021,00-0031045,C.Hyde,JAX,RB,72.0,12.0,21.0,84.0,253.0,65.0,318.0,1.0,0.0,1.0,-25.042,-1.223,-26.265,-0.313,3.786,0.571,6.1,4.0,3.6,-1.404,0.0,2.0
