season,team,offensive_allpros_nqb
1999,IND,1.5
1999,KC,1.0
1999,MIN,1.0
1999,STL,1.5
2000,IND,1.0
2000,KC,1.0
2000,MIN,1.0
2000,STL,2.0
2001,IND,1.0
2001,KC,1.5
2001,MIN,1.0
2001,STL,1.5
2002,IND,1.0
2002,KC,2.0
2002,MIA,0.5
2002,MIN,1.0
2002,STL,0.5
2003,BAL,1.0
2003,CIN,0.5
2003,IND,1.0
2003,KC,1.5
2003,STL,1.0
2004,CAR,1.0
2004,KC,1.0
2004,MIN,0.5
2004,NYJ,1.0
2004,SEA,0.5
2004,STL,1.0
2005,BAL,0.5
2005,CAR,1.0
2005,CIN,1.0
2005,KC,0.5
2005,SD,1.0
2005,SEA,1.0
2006,CAR,0.5
2006,CIN,1.0
2006,IND,1.0
2006,KC,0.5
2006,SD,2.0
2007,DAL,1.0
2007,IND,1.0
2007,NE,1.5
2007,PHI,0.5
2007,SD,1.0
2008,ARI,1.0
2008,ATL,1.0
2008,DAL,1.0
2008,GB,0.5
2008,HOU,1.0
2008,MIN,0.5
2009,HOU,1.0
2009,IND,2.0
2009,MIN,0.5
2009,NE,0.5
2009,TEN,1.0
2010,DEN,1.0
2010,HOU,1.0
2010,IND,1.0
2010,KC,0.5
2010,PIT,0.5
2010,SD,1.0
2011,DET,1.0
2011,JAX,0.5
2011,NE,2.0
2011,NYG,0.5
2011,PHI,1.0
2012,CHI,0.5
2012,CIN,1.0
2012,DET,1.0
2012,MIN,1.0
2012,NE,1.0
2012,SEA,0.5
2013,CLE,1.0
2013,DEN,1.0
2013,KC,0.5
2013,NO,1.0
2013,PHI,1.0
2013,PIT,0.5
2014,DAL,1.0
2014,GB,1.0
2014,NE,1.0
2014,NYG,0.5
2014,PIT,1.5
2015,ARI,0.5
2015,ATL,1.0
2015,MIN,1.0
2015,NE,1.0
2015,PIT,1.0
2015,TB,0.5
2016,BUF,1.0
2016,DAL,0.5
2016,GB,1.0
2016,KC,1.0
2016,NYG,1.0
2016,TB,0.5
2017,HOU,1.0
2017,KC,1.0
2017,LA,1.0
2017,NE,0.5
2017,PIT,1.5
2018,HOU,1.0
2018,KC,2.0
2018,LA,1.0
2018,NYG,0.5
2018,PHI,0.5
2019,ATL,0.5
2019,BAL,0.5
2019,CAR,1.0
2019,HOU,1.0
2019,KC,1.0
2019,MIN,0.5
2019,NO,1.0
2020,BUF,0.5
2020,GB,1.0
2020,KC,2.0
2020,LV,0.5
2020,MIN,1.0
2020,TEN,0.5
2021,BAL,0.5
2021,GB,1.0
2021,IND,1.0
2021,KC,1.0
2021,LA,1.0
2021,PIT,0.5
2021,SF,0.5
2022,BAL,0.5
2022,BUF,1.0
2022,CLE,0.5
2022,KC,1.0
2022,LV,1.0
2022,MIA,0.5
2022,MIN,1.0
2023,DAL,1.0
2023,DET,1.5
2023,LA,0.5
2023,MIA,1.0
2023,SF,2.5
2023,TB,0.5
2024,BAL,0.5
2024,CIN,1.0
2024,DAL,0.5
2024,DET,1.0
2024,LV,1.0
2024,MIN,1.0
2024,PHI,1.5
2024,SF,0.5
2024,WAS,0.5
2025,ARI,0.5
2025,BAL,1.0
2025,CIN,1.0
2025,KC,1.0
2025,MIN,1.0
2025,PHI,0.5
