season,player,team,tier,points
1999,Marshall Faulk,STL,1,1.0
1999,Randy Moss,MIN,1,1.0
1999,Marvin Harrison,IND,1,1.0
1999,Tony Gonzalez,KC,1,1.0
1999,Edgerrin James,IND,2,0.5
1999,Isaac Bruce,STL,2,0.5
2000,Marshall Faulk,STL,1,1.0
2000,Torry Holt,STL,1,1.0
2000,Randy Moss,MIN,1,1.0
2000,Tony Gonzalez,KC,1,1.0
2000,Edgerrin James,IND,2,0.5
2000,Marvin Harrison,IND,2,0.5
2001,Marshall Faulk,STL,1,1.0
2001,Randy Moss,MIN,1,1.0
2001,Marvin Harrison,IND,1,1.0
2001,Tony Gonzalez,KC,1,1.0
2001,Priest Holmes,KC,2,0.5
2001,Torry Holt,STL,2,0.5
2002,Priest Holmes,KC,1,1.0
2002,Marvin Harrison,IND,1,1.0
2002,Randy Moss,MIN,1,1.0
2002,Tony Gonzalez,KC,1,1.0
2002,Ricky Williams,MIA,2,0.5
2002,Torry Holt,STL,2,0.5
2003,Jamal Lewis,BAL,1,1.0
2003,Torry Holt,STL,1,1.0
2003,Marvin Harrison,IND,1,1.0
2003,Tony Gonzalez,KC,1,1.0
2003,Priest Holmes,KC,2,0.5
2003,Chad Johnson,CIN,2,0.5
2004,Curtis Martin,NYJ,1,1.0
2004,Muhsin Muhammad,CAR,1,1.0
2004,Torry Holt,STL,1,1.0
2004,Tony Gonzalez,KC,1,1.0
2004,Shaun Alexander,SEA,2,0.5
2004,Randy Moss,MIN,2,0.5
2005,Shaun Alexander,SEA,1,1.0
2005,Steve Smith,CAR,1,1.0
2005,Chad Johnson,CIN,1,1.0
2005,Antonio Gates,SD,1,1.0
2005,Larry Johnson,KC,2,0.5
2005,Derrick Mason,BAL,2,0.5
2006,LaDainian Tomlinson,SD,1,1.0
2006,Chad Johnson,CIN,1,1.0
2006,Marvin Harrison,IND,1,1.0
2006,Antonio Gates,SD,1,1.0
2006,Larry Johnson,KC,2,0.5
2006,Steve Smith,CAR,2,0.5
2007,LaDainian Tomlinson,SD,1,1.0
2007,Randy Moss,NE,1,1.0
2007,Reggie Wayne,IND,1,1.0
2007,Jason Witten,DAL,1,1.0
2007,Brian Westbrook,PHI,2,0.5
2007,Wes Welker,NE,2,0.5
2008,Michael Turner,ATL,1,1.0
2008,Andre Johnson,HOU,1,1.0
2008,Larry Fitzgerald,ARI,1,1.0
2008,Jason Witten,DAL,1,1.0
2008,Adrian Peterson,MIN,2,0.5
2008,Greg Jennings,GB,2,0.5
2009,Chris Johnson,TEN,1,1.0
2009,Andre Johnson,HOU,1,1.0
2009,Reggie Wayne,IND,1,1.0
2009,Dallas Clark,IND,1,1.0
2009,Adrian Peterson,MIN,2,0.5
2009,Wes Welker,NE,2,0.5
2010,Arian Foster,HOU,1,1.0
2010,Brandon Lloyd,DEN,1,1.0
2010,Reggie Wayne,IND,1,1.0
2010,Antonio Gates,SD,1,1.0
2010,Jamaal Charles,KC,2,0.5
2010,Mike Wallace,PIT,2,0.5
2011,LeSean McCoy,PHI,1,1.0
2011,Calvin Johnson,DET,1,1.0
2011,Wes Welker,NE,1,1.0
2011,Rob Gronkowski,NE,1,1.0
2011,Maurice Jones-Drew,JAX,2,0.5
2011,Victor Cruz,NYG,2,0.5
2012,Adrian Peterson,MIN,1,1.0
2012,Calvin Johnson,DET,1,1.0
2012,A.J. Green,CIN,1,1.0
2012,Rob Gronkowski,NE,1,1.0
2012,Marshawn Lynch,SEA,2,0.5
2012,Brandon Marshall,CHI,2,0.5
2013,LeSean McCoy,PHI,1,1.0
2013,Josh Gordon,CLE,1,1.0
2013,Demaryius Thomas,DEN,1,1.0
2013,Jimmy Graham,NO,1,1.0
2013,Jamaal Charles,KC,2,0.5
2013,Antonio Brown,PIT,2,0.5
2014,DeMarco Murray,DAL,1,1.0
2014,Antonio Brown,PIT,1,1.0
2014,Jordy Nelson,GB,1,1.0
2014,Rob Gronkowski,NE,1,1.0
2014,Le'Veon Bell,PIT,2,0.5
2014,Odell Beckham Jr.,NYG,2,0.5
2015,Adrian Peterson,MIN,1,1.0
2015,Antonio Brown,PIT,1,1.0
2015,Julio Jones,ATL,1,1.0
2015,Rob Gronkowski,NE,1,1.0
2015,Doug Martin,TB,2,0.5
2015,Larry Fitzgerald,ARI,2,0.5
2016,LeSean McCoy,BUF,1,1.0
2016,Jordy Nelson,GB,1,1.0
2016,Odell Beckham Jr.,NYG,1,1.0
2016,Travis Kelce,KC,1,1.0
2016,Ezekiel Elliott,DAL,2,0.5
2016,Mike Evans,TB,2,0.5
2017,Todd Gurley,LA,1,1.0
2017,Antonio Brown,PIT,1,1.0
2017,DeAndre Hopkins,HOU,1,1.0
2017,Travis Kelce,KC,1,1.0
2017,Le'Veon Bell,PIT,2,0.5
2017,Rob Gronkowski,NE,2,0.5
2018,Todd Gurley,LA,1,1.0
2018,DeAndre Hopkins,HOU,1,1.0
2018,Tyreek Hill,KC,1,1.0
2018,Travis Kelce,KC,1,1.0
2018,Saquon Barkley,NYG,2,0.5
2018,Zach Ertz,PHI,2,0.5
2019,Christian McCaffrey,CAR,1,1.0
2019,Michael Thomas,NO,1,1.0
2019,DeAndre Hopkins,HOU,1,1.0
2019,Travis Kelce,KC,1,1.0
2019,Dalvin Cook,MIN,2,0.5
2019,Julio Jones,ATL,2,0.5
2019,Mark Andrews,BAL,2,0.5
2020,Dalvin Cook,MIN,1,1.0
2020,Davante Adams,GB,1,1.0
2020,Tyreek Hill,KC,1,1.0
2020,Travis Kelce,KC,1,1.0
2020,Derrick Henry,TEN,2,0.5
2020,Stefon Diggs,BUF,2,0.5
2020,Darren Waller,LV,2,0.5
2021,Jonathan Taylor,IND,1,1.0
2021,Cooper Kupp,LA,1,1.0
2021,Davante Adams,GB,1,1.0
2021,Travis Kelce,KC,1,1.0
2021,Najee Harris,PIT,2,0.5
2021,Deebo Samuel,SF,2,0.5
2021,Mark Andrews,BAL,2,0.5
2022,Josh Jacobs,LV,1,1.0
2022,Stefon Diggs,BUF,1,1.0
2022,Justin Jefferson,MIN,1,1.0
2022,Travis Kelce,KC,1,1.0
2022,Nick Chubb,CLE,2,0.5
2022,Tyreek Hill,MIA,2,0.5
2022,Mark Andrews,BAL,2,0.5
2023,Christian McCaffrey,SF,1,1.0
2023,Tyreek Hill,MIA,1,1.0
2023,CeeDee Lamb,DAL,1,1.0
2023,Amon-Ra St. Brown,DET,1,1.0
2023,George Kittle,SF,1,1.0
2023,Kyren Williams,LA,2,0.5
2023,Brandon Aiyuk,SF,2,0.5
2023,Mike Evans,TB,2,0.5
2023,Sam LaPorta,DET,2,0.5
2024,Saquon Barkley,PHI,1,1.0
2024,Ja'Marr Chase,CIN,1,1.0
2024,Justin Jefferson,MIN,1,1.0
2024,Amon-Ra St. Brown,DET,1,1.0
2024,Brock Bowers,LV,1,1.0
2024,Derrick Henry,BAL,2,0.5
2024,Terry McLaurin,WAS,2,0.5
2024,CeeDee Lamb,DAL,2,0.5
2024,A.J. Brown,PHI,2,0.5
2024,George Kittle,SF,2,0.5
2025,Derrick Henry,BAL,1,1.0
2025,Justin Jefferson,MIN,1,1.0
2025,Ja'Marr Chase,CIN,1,1.0
2025,Travis Kelce,KC,1,1.0
2025,Saquon Barkley,PHI,2,0.5
2025,Trey McBride,ARI,2,0.5
