season,model_pick,model_index,actual_winner,actual_index,actual_vote_pct,consistent,index_gap
1999,K.Warner,100.0,K.Warner,100.0,0.84,True,0.0
2001,K.Warner,100.0,K.Warner,100.0,0.52,True,0.0
2002,C.Pennington,100.0,R.Gannon,93.8,0.76,False,6.2
2003,P.Manning,100.0,P.Manning,100.0,0.5,True,0.0
2004,P.Manning,100.0,P.Manning,100.0,0.96,True,0.0
2007,T.Brady,100.0,T.Brady,100.0,0.96,True,0.0
2008,P.Manning,100.0,P.Manning,100.0,0.48,True,0.0
2009,P.Manning,100.0,P.Manning,100.0,0.96,True,0.0
2010,T.Brady,100.0,T.Brady,100.0,0.96,True,0.0
2011,D.Brees,100.0,A.Rodgers,96.0,0.968,False,4.0
2013,P.Manning,100.0,P.Manning,100.0,0.96,True,0.0
2014,A.Rodgers,100.0,A.Rodgers,100.0,0.52,True,0.0
2015,R.Wilson,100.0,C.Newton,95.6,1.0,False,4.4
2016,M.Ryan,100.0,M.Ryan,100.0,0.784,True,0.0
2017,T.Brady,100.0,T.Brady,100.0,0.608,True,0.0
2018,P.Mahomes,100.0,P.Mahomes,100.0,0.96,True,0.0
2019,L.Jackson,100.0,L.Jackson,100.0,1.0,True,0.0
2020,A.Rodgers,100.0,A.Rodgers,100.0,0.944,True,0.0
2021,A.Rodgers,100.0,A.Rodgers,100.0,0.78,True,0.0
2022,P.Mahomes,100.0,P.Mahomes,100.0,0.882,True,0.0
2023,J.Allen,100.0,L.Jackson,88.2,0.474,False,11.8
2024,J.Allen,100.0,J.Allen,100.0,0.374,True,0.0
